sex,birth,family,education,job,rich,religion,voting,politics,x,y,location
Чоловіча,1985,Неодружений/незаміжня,Повна вища освіта,"Мистецтво, культура, відпочинок і спорт",3 000 - 6 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,0.23,-0.48,Kharkiv
Чоловіча,1983,У шлюбі,Повна вища освіта,IT-сфера,15 000 - 25 000,Не маю релігійної приналежності,Блок Петра Порошенка,Цікавлюсь,0.25,-0.13,Kyiv
Жіноча,1988,У шлюбі,Повна вища освіта,"Мистецтво, культура, відпочинок і спорт",3 000 - 6 000,Не маю релігійної приналежності,Інша партія,Зовсім не цікавлюсь,-0.28,-0.65,Kyiv
Чоловіча,1981,У шлюбі,Повна вища освіта,IT-сфера,> 50 000,Православ'я,Інша партія,Цікавлюсь,0.23,-0.4,Kyiv
Чоловіча,1971,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",> 50 000,Не маю релігійної приналежності,Блок Петра Порошенка,Цікавлюсь,-0.13,-0.3,Kharkiv
Чоловіча,,Неодружений/незаміжня,Повна вища освіта,Інше,6 000 - 10 000,Не маю релігійної приналежності,Інша партія,Цікавлюсь,-0.05,-0.33,Kyiv
Чоловіча,1988,Неодружений/незаміжня,Повна вища освіта,Виробництво,3 000 - 6 000,Православ'я,Самопоміч,Дуже цікавлюсь,-0.05,-0.28,Mykolaiv
Чоловіча,1961,У шлюбі,Кандидат/доктор наук,IT-сфера,10 000 - 15 000,Буддизм,Блок Петра Порошенка,Цікавлюсь,-0.05,-0.23,Kyiv
Чоловіча,1972,Неодружений/незаміжня,Середня освіта,На пенсії,3 000 - 6 000,Не маю релігійної приналежності,Батьківщина,Цікавлюсь,-0.08,-0.43,Kyiv
Чоловіча,1999,Неодружений/незаміжня,Середня освіта,Студент,< 3 000,Православ'я,Я не голосував,Цікавлюсь,-0.05,-0.15,Kyiv
Чоловіча,1982,У шлюбі,Повна вища освіта,Охорона здоров'я,3 000 - 6 000,Православ'я,Самопоміч,Цікавлюсь,-0.13,0,Kyiv
Чоловіча,,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Не маю релігійної приналежності,Свобода,Дуже цікавлюсь,-0.13,0,not_defined
Чоловіча,1995,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Не маю релігійної приналежності,Самопоміч,Трохи цікавлюсь,0.18,-0.7,not_defined
Чоловіча,1982,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",6 000 - 10 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,-0.28,-0.33,not_defined
Жіноча,1979,Неодружений/незаміжня,Повна вища освіта,Інше,10 000 - 15 000,Інше,Народний Фронт,Цікавлюсь,-0.45,-0.68,outside_ukraine
Чоловіча,1980,Інше,Повна вища освіта,Безробітний,6 000 - 10 000,Інше,Я не голосував,Цікавлюсь,-0.05,-0.48,Kyiv
Чоловіча,1994,Неодружений/незаміжня,Неповна вища освіта,Студент,3 000 - 6 000,Не маю релігійної приналежності,Блок Петра Порошенка,Трохи цікавлюсь,0.05,-0.53,Odessa
Чоловіча,1986,Неодружений/незаміжня,Повна вища освіта,IT-сфера,6 000 - 10 000,Не маю релігійної приналежності,Блок Петра Порошенка,Дуже цікавлюсь,0.18,-0.33,Kharkiv
Чоловіча,1986,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Не маю релігійної приналежності,Народний Фронт,Дуже цікавлюсь,0.38,-0.73,Kyiv
Жіноча,,Неодружений/незаміжня,Кандидат/доктор наук,На пенсії,25 000 - 50 000,Баптизм,Блок Петра Порошенка,Зовсім не цікавлюсь,0.28,-0.1,Zhytomyr
Жіноча,1963,У розлученні,Повна вища освіта,"Бізнес, фінанси та управління",6 000 - 10 000,Православ'я,Опозиційний блок,Цікавлюсь,-0.35,0.3,not_defined
Чоловіча,1991,Неодружений/незаміжня,Кандидат/доктор наук,"Бізнес, фінанси та управління",6 000 - 10 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.08,-0.25,Kyiv
Чоловіча,,У шлюбі,Повна вища освіта,Наука та дослідження,3 000 - 6 000,,Інша партія,Трохи цікавлюсь,-0.03,0,not_defined
Чоловіча,1994,Неодружений/незаміжня,Повна вища освіта,Студент,< 3 000,Не маю релігійної приналежності,Самопоміч,Дуже цікавлюсь,0.20,-0.15,Kyiv
Жіноча,1984,У шлюбі,Повна вища освіта,Інше,6 000 - 10 000,Не маю релігійної приналежності,Складно відповісти,Цікавлюсь,-0.13,-0.43,Lviv
Чоловіча,1982,У шлюбі,Повна вища освіта,Охорона здоров'я,3 000 - 6 000,Православ'я,Самопоміч,Трохи цікавлюсь,-0.03,0.05,Kyiv
Чоловіча,1995,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Самопоміч,Дуже цікавлюсь,-0.13,-0.18,Kyiv
Чоловіча,1984,У шлюбі,Повна вища освіта,Наука та дослідження,25 000 - 50 000,Інше,Я не голосував,Трохи цікавлюсь,0.20,-0.33,Donetsk
Жіноча,1976,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",10 000 - 15 000,Православ'я,Інша партія,Цікавлюсь,0.00,-0.33,not_defined
Чоловіча,1986,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",10 000 - 15 000,Не маю релігійної приналежності,Самопоміч,Дуже цікавлюсь,0.03,-0.28,Dnipropetrovsk
Жіноча,1990,У шлюбі,Повна вища освіта,IT-сфера,3 000 - 6 000,Католицизм,Блок Петра Порошенка,Трохи цікавлюсь,-0.23,-0.25,not_defined
Жіноча,,Неодружений/незаміжня,Повна вища освіта,Інше,3 000 - 6 000,Інше,Блок Петра Порошенка,Цікавлюсь,-0.38,-0.23,Kyiv
Чоловіча,1992,Неодружений/незаміжня,Повна вища освіта,IT-сфера,> 50 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,0.00,-0.73,Kyiv
Чоловіча,1990,Неодружений/незаміжня,Повна вища освіта,Інше,3 000 - 6 000,Православ'я,Самопоміч,Дуже цікавлюсь,0.05,-0.3,Chernihiv
Чоловіча,1997,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.03,0.23,Lviv
Чоловіча,1981,У розлученні,Повна вища освіта,IT-сфера,25 000 - 50 000,Протестантизм,Складно відповісти,Трохи цікавлюсь,0.03,0.13,Zhytomyr
Чоловіча,1998,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Католицизм,Я не голосував,Трохи цікавлюсь,-0.10,0.33,Lviv
Чоловіча,1964,У розлученні,Повна вища освіта,Інше,6 000 - 10 000,Не маю релігійної приналежності,Я не голосував,Дуже цікавлюсь,0.10,-0.2,not_defined
Чоловіча,,Неодружений/незаміжня,Середня освіта,Продажі та послуги,3 000 - 6 000,Протестантизм,Я не голосував,Цікавлюсь,-0.65,-0.15,Kyiv
Жіноча,,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",3 000 - 6 000,Не маю релігійної приналежності,Самопоміч,Трохи цікавлюсь,-0.38,-0.1,Kyiv
Чоловіча,1993,Неодружений/незаміжня,Повна вища освіта,Студент,6 000 - 10 000,Не маю релігійної приналежності,Я не голосував,Трохи цікавлюсь,-0.08,-0.6,outside_ukraine
Жіноча,1992,Неодружений/незаміжня,Повна вища освіта,IT-сфера,3 000 - 6 000,Католицизм,Я не голосував,Трохи цікавлюсь,-0.23,0.23,Kyiv
Чоловіча,1981,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",25 000 - 50 000,Не маю релігійної приналежності,Я не голосував,Дуже цікавлюсь,-0.60,-0.63,Kyiv
Чоловіча,1972,Неодружений/незаміжня,Повна вища освіта,Продажі та послуги,3 000 - 6 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,-0.13,-0.08,Kyiv
Жіноча,1985,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",< 3 000,Православ'я,Складно відповісти,Дуже цікавлюсь,-0.48,-0.05,not_defined
Чоловіча,1976,У шлюбі,Повна вища освіта,Управлінський персонал,10 000 - 15 000,Православ'я,Радикальна партія Олега Ляшка,Дуже цікавлюсь,-0.15,-0.55,Kyiv
Жіноча,1989,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Католицизм,Інша партія,Трохи цікавлюсь,-0.30,0,Lviv
Чоловіча,1986,У шлюбі,Повна вища освіта,IT-сфера,10 000 - 15 000,Православ'я,Самопоміч,Трохи цікавлюсь,-0.05,-0.25,Odessa
Чоловіча,1981,У шлюбі,Повна вища освіта,Управлінський персонал,25 000 - 50 000,Не маю релігійної приналежності,Я не голосував,Дуже цікавлюсь,-0.48,-0.7,Kyiv
Чоловіча,1976,У розлученні,Неповна вища освіта,Інше,25 000 - 50 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,0.15,-0.58,Kyiv
Чоловіча,1981,Неодружений/незаміжня,Повна вища освіта,IT-сфера,10 000 - 15 000,Православ'я,Інша партія,Цікавлюсь,0.00,-0.25,Kyiv
Чоловіча,1988,Неодружений/незаміжня,Повна вища освіта,IT-сфера,> 50 000,Православ'я,Я не голосував,Цікавлюсь,-0.30,-0.25,Kyiv
Жіноча,1967,У розлученні,Повна вища освіта,Інше,3 000 - 6 000,Православ'я,Самопоміч,Дуже цікавлюсь,-0.23,-0.63,Dnipropetrovsk
Чоловіча,,Неодружений/незаміжня,Середня освіта,Продажі та послуги,3 000 - 6 000,Протестантизм,Я не голосував,Цікавлюсь,-0.48,-0.18,not_defined
Жіноча,1986,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",6 000 - 10 000,Не маю релігійної приналежності,Опозиційний блок,Трохи цікавлюсь,-0.13,-0.05,Kharkiv
Чоловіча,,Неодружений/незаміжня,Середня освіта,На пенсії,3 000 - 6 000,Протестантизм,Я не голосував,Цікавлюсь,-0.38,-0.18,not_defined
Чоловіча,1974,У шлюбі,Повна вища освіта,Інше,15 000 - 25 000,Іслам,Народний Фронт,Цікавлюсь,0.08,-0.55,Crimea
Жіноча,1947,Інше,Повна вища освіта,На пенсії,< 3 000,Православ'я,Батьківщина,Цікавлюсь,-0.15,-0.33,Dnipropetrovsk
Жіноча,1974,У розлученні,Неповна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Інше,Самопоміч,Цікавлюсь,-0.08,-0.5,not_defined
Чоловіча,1974,У шлюбі,Повна вища освіта,Виробництво,6 000 - 10 000,Інше,Свобода,Цікавлюсь,-0.20,0.53,Chernihiv
Чоловіча,1983,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Православ'я,Самопоміч,Трохи цікавлюсь,0.23,-0.6,Kyiv
Чоловіча,1981,У шлюбі,Повна вища освіта,IT-сфера,> 50 000,Католицизм,Блок Петра Порошенка,Цікавлюсь,0.03,-0.05,not_defined
Чоловіча,1970,У розлученні,Неповна вища освіта,Інше,15 000 - 25 000,Не маю релігійної приналежності,Я не голосував,Дуже цікавлюсь,-0.58,-0.63,not_defined
Чоловіча,,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Не маю релігійної приналежності,Я не голосував,Цікавлюсь,-0.08,-0.33,not_defined
Жіноча,1983,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",< 3 000,Іудаїзм,Складно відповісти,Трохи цікавлюсь,-0.28,0.08,Kyiv
Чоловіча,1991,Неодружений/незаміжня,Повна вища освіта,"Торгівля, транспорт і логістика",6 000 - 10 000,Не маю релігійної приналежності,Свобода,Дуже цікавлюсь,-0.03,0,Volyn
Чоловіча,1991,Неодружений/незаміжня,Повна вища освіта,"Торгівля, транспорт і логістика",6 000 - 10 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,0.05,-0.08,Volyn
Чоловіча,1987,У шлюбі,Повна вища освіта,IT-сфера,< 3 000,Православ'я,Інша партія,Дуже цікавлюсь,-0.15,-0.25,not_defined
Чоловіча,1985,У шлюбі,Повна вища освіта,Продажі та послуги,10 000 - 15 000,Католицизм,Народний Фронт,Дуже цікавлюсь,0.10,-0.38,Kharkiv
Жіноча,1980,У шлюбі,Неповна вища освіта,"Торгівля, транспорт і логістика",3 000 - 6 000,Протестантизм,Інша партія,Цікавлюсь,-0.25,-0.25,Kyiv
Жіноча,1994,Неодружений/незаміжня,Повна вища освіта,IT-сфера,3 000 - 6 000,Не маю релігійної приналежності,Складно відповісти,Трохи цікавлюсь,-0.25,-0.5,Kharkiv
Чоловіча,1989,Неодружений/незаміжня,Повна вища освіта,IT-сфера,6 000 - 10 000,Не маю релігійної приналежності,Інша партія,Дуже цікавлюсь,-0.13,-0.15,Kyiv
Жіноча,1988,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Баптизм,Батьківщина,Дуже цікавлюсь,-0.08,-0.08,Kyiv
Чоловіча,1986,У шлюбі,Повна вища освіта,Наука та дослідження,6 000 - 10 000,Католицизм,Блок Петра Порошенка,Цікавлюсь,0.15,0.23,Lviv
Жіноча,,,,На пенсії,,,,,-0.18,0.08,Kyiv
Чоловіча,1996,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Не маю релігійної приналежності,Я не голосував,Зовсім не цікавлюсь,0.10,-0.63,Kyiv
Чоловіча,1989,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",15 000 - 25 000,Православ'я,Самопоміч,Дуже цікавлюсь,-0.10,-0.25,Lviv
Чоловіча,1975,У шлюбі,Кандидат/доктор наук,Наука та дослідження,3 000 - 6 000,Не маю релігійної приналежності,Я не голосував,Трохи цікавлюсь,0.03,-0.5,Chernivtsi
Жіноча,1995,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Я не голосував,Цікавлюсь,-0.23,-0.13,Kyiv
Чоловіча,1987,Неодружений/незаміжня,Середня освіта,IT-сфера,15 000 - 25 000,Православ'я,Самопоміч,Дуже цікавлюсь,-0.18,-0.08,Ivano-Frankivsk
Чоловіча,1983,У шлюбі,Повна вища освіта,IT-сфера,> 50 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,0.18,-0.05,Kharkiv
Чоловіча,1986,У шлюбі,Повна вища освіта,IT-сфера,> 50 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,-0.08,-0.5,Kyiv
Жіноча,,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Інше,,Цікавлюсь,-0.10,-0.3,not_defined
Жіноча,1975,У шлюбі,Повна вища освіта,"Торгівля, транспорт і логістика",3 000 - 6 000,Не маю релігійної приналежності,Самопоміч,Дуже цікавлюсь,-0.25,-0.65,Lviv
Жіноча,1978,У розлученні,Повна вища освіта,Виробництво,10 000 - 15 000,Не маю релігійної приналежності,Складно відповісти,Трохи цікавлюсь,-0.08,-0.5,not_defined
Чоловіча,1992,Неодружений/незаміжня,Неповна вища освіта,Інше,,,Я не голосував,Дуже цікавлюсь,0.00,0.03,Kyiv
Чоловіча,1968,У розлученні,Повна вища освіта,IT-сфера,6 000 - 10 000,Не маю релігійної приналежності,Я не голосував,Цікавлюсь,-0.33,-0.2,not_defined
Жіноча,1979,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",3 000 - 6 000,Православ'я,Самопоміч,Цікавлюсь,-0.18,-0.08,Lviv
Чоловіча,1970,Інше,Неповна вища освіта,"Бізнес, фінанси та управління",15 000 - 25 000,Не маю релігійної приналежності,Складно відповісти,Дуже цікавлюсь,-0.15,-0.63,not_defined
Жіноча,1986,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Не маю релігійної приналежності,Самопоміч,Цікавлюсь,-0.25,-0.33,Kharkiv
Чоловіча,1982,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Не маю релігійної приналежності,Я не голосував,Трохи цікавлюсь,-0.05,-0.03,Volyn
Чоловіча,1992,У шлюбі,Повна вища освіта,Охорона здоров'я,< 3 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,-0.20,0.05,Kyiv
Чоловіча,1993,Неодружений/незаміжня,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Католицизм,Самопоміч,Цікавлюсь,0.43,-0.7,not_defined
Чоловіча,1992,Неодружений/незаміжня,Неповна вища освіта,IT-сфера,15 000 - 25 000,Не маю релігійної приналежності,Інша партія,Цікавлюсь,0.08,-0.23,Kharkiv
Жіноча,1994,Неодружений/незаміжня,Повна вища освіта,Продажі та послуги,< 3 000,Православ'я,Свобода,Цікавлюсь,-0.33,0.1,Rivne
Чоловіча,1975,У розлученні,Повна вища освіта,IT-сфера,6 000 - 10 000,Не маю релігійної приналежності,Блок Петра Порошенка,Цікавлюсь,-0.10,-0.3,Donetsk
,,,,На пенсії,,,,,0.20,-0.53,not_defined
Чоловіча,1993,Неодружений/незаміжня,Неповна вища освіта,"Торгівля, транспорт і логістика",6 000 - 10 000,Інше,Свобода,Цікавлюсь,0.30,-0.5,Kyiv
Чоловіча,,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",15 000 - 25 000,Не маю релігійної приналежності,Самопоміч,Дуже цікавлюсь,0.20,-0.65,Kyiv
Чоловіча,1973,У шлюбі,Неповна вища освіта,IT-сфера,6 000 - 10 000,Православ'я,Опозиційний блок,Дуже цікавлюсь,0.13,-0.33,Kyiv
Чоловіча,1984,Неодружений/незаміжня,Повна вища освіта,Інше,3 000 - 6 000,Протестантизм,Самопоміч,Цікавлюсь,-0.13,-0.63,Kyiv
Чоловіча,1984,Неодружений/незаміжня,Повна вища освіта,Інше,3 000 - 6 000,Протестантизм,Самопоміч,Цікавлюсь,0.03,-0.7,Kyiv
Чоловіча,1976,У шлюбі,Повна вища освіта,"Торгівля, транспорт і логістика",6 000 - 10 000,Інше,Інша партія,Цікавлюсь,-0.13,-0.23,Ivano-Frankivsk
Чоловіча,1973,У шлюбі,Повна вища освіта,"Мистецтво, культура, відпочинок і спорт",6 000 - 10 000,Не маю релігійної приналежності,Складно відповісти,Дуже цікавлюсь,-0.08,-0.43,not_defined
Жіноча,1985,У шлюбі,Кандидат/доктор наук,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Інше,Інша партія,Дуже цікавлюсь,0.50,-0.53,Kyiv
Жіноча,1985,У шлюбі,Кандидат/доктор наук,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Інше,Інша партія,Дуже цікавлюсь,0.40,-0.55,Kyiv
Чоловіча,1980,У шлюбі,Неповна вища освіта,"Бізнес, фінанси та управління",15 000 - 25 000,Католицизм,Складно відповісти,Трохи цікавлюсь,0.08,-0.3,Kyiv
Жіноча,1996,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Не маю релігійної приналежності,Інша партія,Цікавлюсь,-0.28,-0.25,Rivne
Чоловіча,,Неодружений/незаміжня,,Студент,,Католицизм,,Трохи цікавлюсь,-0.05,0.03,Lviv
Чоловіча,1987,У шлюбі,Повна вища освіта,IT-сфера,25 000 - 50 000,Не маю релігійної приналежності,Я не голосував,Трохи цікавлюсь,-0.30,-0.43,Lviv
Жіноча,1985,У шлюбі,Повна вища освіта,На пенсії,,,,,0.05,-0.28,not_defined
Чоловіча,1985,Неодружений/незаміжня,Повна вища освіта,Сільське господарство,10 000 - 15 000,Не маю релігійної приналежності,Я не голосував,Трохи цікавлюсь,0.00,-0.43,Kirovograd
Чоловіча,1982,У шлюбі,Повна вища освіта,Виробництво,6 000 - 10 000,Буддизм,Я не голосував,Трохи цікавлюсь,0.05,-0.13,Kyiv
Чоловіча,1976,У розлученні,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",> 50 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,0.40,-0.7,Kyiv
Чоловіча,1999,Неодружений/незаміжня,Середня освіта,Студент,< 3 000,Не маю релігійної приналежності,Народний Фронт,Дуже цікавлюсь,0.60,-0.55,Dnipropetrovsk
Чоловіча,1997,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Сила Людей,Трохи цікавлюсь,-0.25,-0.08,Kyiv
Чоловіча,1974,У шлюбі,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Баптизм,Інша партія,Цікавлюсь,0.58,-0.25,Cherkasy
Чоловіча,1978,У шлюбі,Кандидат/доктор наук,"Освіта, юриспруденція, громадські та державні послуги",10 000 - 15 000,Православ'я,Самопоміч,Дуже цікавлюсь,0.10,0.15,Kyiv
Чоловіча,1975,У шлюбі,Повна вища освіта,"Торгівля, транспорт і логістика",> 50 000,Не маю релігійної приналежності,Блок Петра Порошенка,Цікавлюсь,0.00,-0.23,not_defined
Чоловіча,1986,У шлюбі,Кандидат/доктор наук,Наука та дослідження,> 50 000,Православ'я,Самопоміч,Трохи цікавлюсь,-0.13,-0.5,Kyiv
Чоловіча,1992,У шлюбі,Повна вища освіта,Студент,> 50 000,Православ'я,Я не голосував,Зовсім не цікавлюсь,0.23,0.1,Kyiv
Чоловіча,1966,У шлюбі,Повна вища освіта,На пенсії,25 000 - 50 000,Православ'я,Я не голосував,Цікавлюсь,-0.40,0.33,outside_ukraine
Жіноча,1991,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",3 000 - 6 000,Католицизм,Самопоміч,Трохи цікавлюсь,-0.20,-0.28,Ivano-Frankivsk
Чоловіча,1982,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",> 50 000,Баптизм,Самопоміч,Цікавлюсь,0.15,-0.58,outside_ukraine
Жіноча,1983,У шлюбі,Кандидат/доктор наук,"Освіта, юриспруденція, громадські та державні послуги",6 000 - 10 000,Православ'я,Я не голосував,Зовсім не цікавлюсь,0.08,-0.58,not_defined
Чоловіча,1986,Неодружений/незаміжня,Повна вища освіта,"Бізнес, фінанси та управління",15 000 - 25 000,Православ'я,Я не голосував,Зовсім не цікавлюсь,-0.40,-0.03,Khmelnytsky
Жіноча,1959,У шлюбі,Повна вища освіта,"Торгівля, транспорт і логістика",10 000 - 15 000,Інше,Свобода,Цікавлюсь,-0.33,0.18,not_defined
Жіноча,1978,У шлюбі,Повна вища освіта,"Бізнес, фінанси та управління",3 000 - 6 000,Православ'я,Самопоміч,Цікавлюсь,-0.03,0.08,Kyiv
Жіноча,1984,У розлученні,Повна вища освіта,Домогосподарка,< 3 000,Православ'я,Я не голосував,Трохи цікавлюсь,-0.03,0.08,Kyiv
Чоловіча,1990,У шлюбі,Повна вища освіта,Виробництво,3 000 - 6 000,Не маю релігійної приналежності,Інша партія,Цікавлюсь,-0.35,0.05,Kherson
Жіноча,1992,У шлюбі,Повна вища освіта,Охорона здоров'я,< 3 000,Православ'я,Свобода,Трохи цікавлюсь,-0.28,-0.2,Lviv
Чоловіча,1979,У шлюбі,Середня освіта,Безробітний,< 3 000,Православ'я,Я не голосував,Дуже цікавлюсь,-0.30,-0.25,not_defined
Чоловіча,1993,Неодружений/незаміжня,Неповна вища освіта,Студент,< 3 000,Православ'я,Самопоміч,Трохи цікавлюсь,-0.03,0.05,Volyn
Чоловіча,1995,Неодружений/незаміжня,Неповна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",3 000 - 6 000,Православ'я,Самопоміч,Дуже цікавлюсь,-0.18,-0.63,Zaporizhia
Чоловіча,1978,У шлюбі,Повна вища освіта,Управлінський персонал,25 000 - 50 000,Православ'я,Інша партія,Дуже цікавлюсь,0.45,-0.5,Kyiv
Жіноча,1984,,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",,Не маю релігійної приналежності,Складно відповісти,Трохи цікавлюсь,0.03,-0.18,not_defined
Чоловіча,1997,Неодружений/незаміжня,Неповна вища освіта,Студент,3 000 - 6 000,Православ'я,Самопоміч,Дуже цікавлюсь,0.45,-0.33,Kyiv
Жіноча,1972,У шлюбі,Неповна вища освіта,"Мистецтво, культура, відпочинок і спорт",3 000 - 6 000,Православ'я,Блок Петра Порошенка,Цікавлюсь,0.03,0.03,not_defined
Чоловіча,1972,Неодружений/незаміжня,Повна вища освіта,Безробітний,3 000 - 6 000,Православ'я,Інша партія,Дуже цікавлюсь,0.03,0.33,Volyn
Чоловіча,1997,Інше,Повна вища освіта,Студент,,Православ'я,Я не голосував,Цікавлюсь,-0.35,-0.05,not_defined
Чоловіча,1985,Інше,Повна вища освіта,Виробництво,3 000 - 6 000,Не маю релігійної приналежності,Радикальна партія Олега Ляшка,Дуже цікавлюсь,-0.33,-0.88,not_defined
Жіноча,1963,Інше,Повна вища освіта,"Освіта, юриспруденція, громадські та державні послуги",< 3 000,Православ'я,Блок Петра Порошенка,Трохи цікавлюсь,-0.25,0.23,Volyn
Жіноча,1989,У шлюбі,Повна вища освіта,Управлінський персонал,10 000 - 15 000,Католицизм,Я не голосував,Трохи цікавлюсь,0.05,-0.68,outside_ukraine
Чоловіча,1971,У шлюбі,Кандидат/доктор наук,"Бізнес, фінанси та управління",> 50 000,Іудаїзм,Я не голосував,Дуже цікавлюсь,0.18,-0.3,outside_ukraine
Чоловіча,1972,У шлюбі,Середня освіта,IT-сфера,25 000 - 50 000,Іудаїзм,Інша партія,Цікавлюсь,0.15,-0.13,not_defined
