index,name,actives,date,credits_all,deposits_all,income,owner,group.x,group.y,status,rating,groups,y
18,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",1320714,1012009,929534,937384,7479,"Олександр Білошкап, 
Наталія Огородник",4,ukraine,NA,79,3,46
19,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",1431265,1072009,1100957,1027073,4619,"Олександр Білошкап, 
Наталія Огородник",4,ukraine,NA,79,3,46
20,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",3783330.59,1012014,3221100.65,3260643,10169,"Олександр 
Білошкап, Наталія Огородник",3,ukraine,NA,79,3,46
21,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",2644867,1012013,2307398,2150313,7629,"Олександр Білошкап, 
Наталія Огородник",4,ukraine,NA,79,3,46
22,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",1918515,1072010,1421990,1317882,2055,"Олександр Білошкап, 
Наталія Огородник",3,ukraine,NA,79,3,46
23,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",2180721,1072011,1547469,1570995,3541,"Олександр Білошкап, 
Наталія Огородник",4,ukraine,NA,79,3,46
24,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",1774852,1012010,1169425,1220562,1451,"Олександр Білошкап, 
Наталія Огородник",3,ukraine,NA,79,3,46
25,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",2065345,1012011,1415312,1426177,5245,"Олександр Білошкап, 
Наталія Огородник",4,ukraine,NA,79,3,46
26,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",4169029,1072014,3534184,3300420,1063,"Олександр Білошкап, 
Наталія Огородник",3,ukraine,NA,79,3,46
27,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",2361682,1012012,2088148,1834457,4047,"Олександр Білошкап, 
Наталія Огородник",4,ukraine,NA,79,3,46
28,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",2809618,1072013,2329428,2256567,3767,"Олександр Білошкап, 
Наталія Огородник",4,ukraine,NA,79,3,46
29,"HАЦІОНАЛЬНІ 
ІНВЕСТИЦІЇ",2267704,1072012,1944977,1878384,2834,"Олександр Білошкап, 
Наталія Огородник",4,ukraine,NA,79,3,46
30,IHГ УКРАЇНА,9393337,1072011,6366001,3180628,166582,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
31,IHГ УКРАЇНА,11270952,1072012,8632614,3880011,287254,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
32,IHГ УКРАЇНА,9665451.12,1012014,6571189.47,3798440,76122,"ING 
Group (Нідерланди)",2,world,NA,25,2,142
33,IHГ УКРАЇНА,9691199,1072013,7510498,4492930,103568,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
34,IHГ УКРАЇНА,9632938,1012011,6550139,2393115,267800,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
35,IHГ УКРАЇНА,9070113,1072010,6572290,2429169,181372,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
36,IHГ УКРАЇНА,9505850,1012009,7049712,1977108,226800,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
37,IHГ УКРАЇНА,11309357,1072014,9246672,2087430,358669,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
38,IHГ УКРАЇНА,11526360,1012013,8684052,4515805,552362,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
39,IHГ УКРАЇНА,9699979,1012010,6976106,1988604,144246,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
40,IHГ УКРАЇНА,10771234,1012012,7874101,2244893,172603,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
41,IHГ УКРАЇНА,8259182,1072009,6228365,2076137,92686,"ING Group 
(Нідерланди)",2,world,NA,25,2,142
42,IМЕКСБАНК,6278572,1012011,5454688,2222534,27522,"Леонід 
Клімов",2,regionals,NA,31,2,92
43,IМЕКСБАНК,6200752,1012009,3615912,3455302,62277,"Леонід 
Клімов",2,regionals,NA,31,2,92
44,IМЕКСБАНК,11027605.79,1012014,9314807.61,6348817,20354,"Леонід 
Клімов",2,regionals,NA,31,2,92
45,IМЕКСБАНК,9099475,1012013,7967211,4753625,3294,"Леонід 
Клімов",2,regionals,NA,31,2,92
46,IМЕКСБАНК,8662540,1072012,6646956,3308627,1345,"Леонід 
Клімов",2,regionals,NA,31,2,92
47,IМЕКСБАНК,11539288,1072014,9947671,6586479,10187,"Леонід 
Клімов",2,regionals,NA,31,2,92
48,IМЕКСБАНК,10024058,1072013,8574565,5345833,6401,"Леонід 
Клімов",2,regionals,NA,31,2,92
49,IМЕКСБАНК,4928441,1072009,3549120,2207028,-30164,"Леонід 
Клімов",2,regionals,NA,31,2,92
50,IМЕКСБАНК,5662680,1012010,3902054,1681267,-115794,"Леонід 
Клімов",2,regionals,NA,31,2,92
51,IМЕКСБАНК,7303895,1012012,6805329,2849084,16464,"Леонід 
Клімов",2,regionals,NA,31,2,92
52,IМЕКСБАНК,6654438,1072011,6210290,2461435,9117,"Леонід 
Клімов",2,regionals,NA,31,2,92
53,IМЕКСБАНК,6028430,1072010,5063106,1803031,2529,"Леонід 
Клімов",2,regionals,NA,31,2,92
54,IНВЕСТБАНК,472805,1012013,274754,268668,6108,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
55,IНВЕСТБАНК,607277,1072014,376097,277195,1718,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
56,IНВЕСТБАНК,338787,1072010,220418,212594,538,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
57,IНВЕСТБАНК,555910.56,1012014,347013.65,258893,5338,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
58,IНВЕСТБАНК,301509,1012009,231715,175651,4415,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
59,IНВЕСТБАНК,294403,1072009,205482,175288,1647,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
60,IНВЕСТБАНК,308458,1012010,216742,183366,4271,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
61,IНВЕСТБАНК,449777,1072011,319168,254886,2362,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
62,IНВЕСТБАНК,464028,1072013,302375,250291,2672,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
63,IНВЕСТБАНК,488764,1072012,278766,275323,2734,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
64,IНВЕСТБАНК,459008,1012012,300282,243281,5386,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
65,IНВЕСТБАНК,407688,1012011,246485,230208,804,"Олександр 
Незвінський",4,ukraine,NA,191,2,78
66,IНДЕКС-БАНК,4940154,1072010,3930072,2397979,-65973,NA,2,NA,NA,42,4,186
67,IНДЕКС-БАНК,5636998,1012010,3366280,2083123,-299623,NA,2,NA,NA,42,4,186
68,IНДЕКС-БАНК,5332316,1012011,4366395,2915500,-23388,NA,2,NA,NA,42,4,186
69,IНДУСТРІАЛБАНК,2751410,1072014,1516613,1474072,6069,"Ігор
 Дворецький, екс-власник ""Запоріжсталі""",4,ukraine,NA,57,2,215
70,IНДУСТРІАЛБАНК,3217325,1012013,1601443,1761236,79991,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",3,ukraine,NA,57,2,215
71,IНДУСТРІАЛБАНК,3735799,1072012,1453810,2231968,-13363,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",3,ukraine,NA,57,2,215
72,IНДУСТРІАЛБАНК,3525390,1072009,2520496,2410864,5057,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",2,ukraine,NA,57,2,215
73,IНДУСТРІАЛБАНК,3729759,1072010,2519137,2352130,7436,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",3,ukraine,NA,57,2,215
74,IНДУСТРІАЛБАНК,4375768,1012009,2682253,3245739,100059,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",2,ukraine,NA,57,2,215
75,IНДУСТРІАЛБАНК,3281533,1012011,2066673,2183343,10020,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",3,ukraine,NA,57,2,215
76,IНДУСТРІАЛБАНК,3388027,1012012,1840339,2133515,17926,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",3,ukraine,NA,57,2,215
77,IНДУСТРІАЛБАНК,2622931.51,1012014,1340643.77,1345075,-2708,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",4,ukraine,NA,57,2,215
78,IНДУСТРІАЛБАНК,3292260,1072013,1522931,1637391,9825,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",3,ukraine,NA,57,2,215
79,IНДУСТРІАЛБАНК,3452369,1012010,2506455,2048200,4065,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",3,ukraine,NA,57,2,215
80,IНДУСТРІАЛБАНК,3764107,1072011,2009811,2574327,10843,"Ігор 
Дворецький, екс-власник ""Запоріжсталі""",3,ukraine,NA,57,2,215
81,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ,7463948,1072009,3579181,2173154,246,NA,3,NA,NA,38,5,104
82,IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ,4510125,1012009,3801216,2060071,2386,NA,3,NA,NA,38,5,104
83,IНТЕГРАЛ,1071151,1012010,404400,275285,990,"Кирило
 Торішній",4,ukraine,NA,145,2,81
84,IНТЕГРАЛ,534632,1012009,369619,380537,3826,"Кирило 
Торішній",4,ukraine,NA,145,2,81
85,IНТЕГРАЛ,588899,1072009,417324,351938,512,"Кирило 
Торішній",4,ukraine,NA,145,2,81
86,IНТЕГРАЛ,1060158,1072010,375553,315104,667,"Кирило 
Торішній",4,ukraine,NA,145,2,81
87,IНТЕГРАЛ -,1811760,1012013,470565,514807,2425,NA,4,NA,NA,93,4,214
88,"IНТЕГРАЛ 
-",1092076,1072014,597566,676026,31458,NA,4,NA,NA,93,4,214
89,"IНТЕГРАЛ 
-",930939.87,1012014,553930.52,610988,1154,NA,4,NA,NA,93,4,214
90,IНТЕГРАЛ -,2470500,1072012,484886,488539,566,NA,4,NA,NA,93,4,214
91,IНТЕГРАЛ -,2514593,1012012,641543,438986,558,NA,4,NA,NA,93,4,214
92,IНТЕГРАЛ -,1680439,1012011,484848,395298,889,NA,4,NA,NA,93,4,214
93,IНТЕГРАЛ -,1517558,1072013,524297,542654,1010,NA,4,NA,NA,93,4,214
94,IНТЕГРАЛ -,1644632,1072011,544029,437559,1138,NA,4,NA,NA,93,4,214
95,IНТЕРБАНК,400686,1072012,149164,223698,4619,"офшорні 
структури",4,russia,insolvent,197,2,234
96,IНТЕРБАНК,72947,1072014,21891,251397,-539821,"офшорні 
структури",4,russia,insolvent,197,2,234
97,IНТЕРБАНК,524912,1012013,247839,281904,33205,"офшорні 
структури",4,russia,insolvent,197,2,234
98,IНТЕРБАНК,530305.03,1012014,231127.84,186769,1668,"офшорні 
структури",4,russia,insolvent,197,2,234
99,IНТЕРБАНК,377735,1012012,155707,181190,476,"офшорні 
структури",4,russia,insolvent,197,2,234
100,IНТЕРБАНК,294426,1012010,190384,174180,5263,"офшорні 
структури",4,russia,insolvent,197,2,234
101,IНТЕРБАНК,341902,1072009,196156,188884,6136,"офшорні 
структури",4,russia,insolvent,197,2,234
102,IНТЕРБАНК,299985,1012009,196190,179178,546,"офшорні 
структури",4,russia,insolvent,197,2,234
103,IНТЕРБАНК,423074,1072011,212862,231247,40,"офшорні 
структури",4,russia,insolvent,197,2,234
104,IНТЕРБАНК,323714,1072010,209083,188586,150,"офшорні 
структури",4,russia,insolvent,197,2,234
105,IНТЕРБАНК,447266,1012011,254407,259593,191,"офшорні 
структури",4,russia,insolvent,197,2,234
106,IНТЕРБАНК,473113,1072013,263251,292635,320,"офшорні 
структури",4,russia,insolvent,197,2,234
107,IПОБАНК,1971882,1072009,1579970,199861,-640,ліквідовано,4,liquidated,insolvent,114,5,239
108,IПОБАНК,1447900,1012009,1291884,200234,9897,ліквідовано,4,liquidated,insolvent,114,5,239
109,IПОБАНК,208010,1012010,1589662,54842,-1235087,ліквідовано,4,liquidated,insolvent,114,5,239
110,АВАНГАРД,313704,1072014,0,120479,3166,"Валерія
 Гонтарєва, інвесткомпанія ICU",4,ukraine,NA,203,4,197
111,АВАНГАРД,373518.68,1012014,0,251234,136,"Валерія Гонтарєва, 
інвесткомпанія ICU",4,ukraine,NA,203,4,197
112,АВАНТ-БАНК,1979622,1072012,627053,308217,5027,"Михайло Грішпон 
",4,ukraine,NA,98,6,4
113,АВАНТ-БАНК,80866,1072009,23256,0,3,"Михайло Грішпон 
",4,ukraine,NA,98,6,4
114,АВАНТ-БАНК,3636168,1072013,757945,1159560,-983,"Михайло Грішпон 
",3,ukraine,NA,98,6,4
115,АВАНТ-БАНК,95138,1012010,80720,6817,229,"Михайло Грішпон 
",4,ukraine,NA,98,6,4
116,АВАНТ-БАНК,3787993.43,1012014,873614.17,1364728,1144,"Михайло 
Грішпон ",3,ukraine,NA,98,6,4
117,АВАНТ-БАНК,1200272,1012012,532047,567430,682,"Михайло Грішпон 
",4,ukraine,NA,98,6,4
118,АВАНТ-БАНК,3759724,1012013,823455,816068,-8300,"Михайло Грішпон 
",3,ukraine,NA,98,6,4
119,АВАНТ-БАНК,109541,1012011,86821,9201,750,"Михайло Грішпон 
",4,ukraine,NA,98,6,4
120,АВАНТ-БАНК,99785,1072010,88179,16155,277,"Михайло Грішпон 
",4,ukraine,NA,98,6,4
121,АВАНТ-БАНК,134765,1072011,83773,18113,539,"Михайло Грішпон 
",4,ukraine,NA,98,6,4
122,АВАНТ-БАНК,2417698,1072014,1085544,1566968,1089,"Михайло Грішпон
 ",3,ukraine,NA,98,6,4
123,АВТОКРАЗБАНК,1176059,1012013,693720,731212,3265,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
124,АВТОКРАЗБАНК,680227,1072009,551089,463733,697,"Сергій Пахальчук,
 Андрій Лізогуб, Андрій Некрилов",4,regionals,insolvent,126,2,82
125,АВТОКРАЗБАНК,860632,1012011,688425,614506,-12187,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
126,АВТОКРАЗБАНК,1102664,1072012,670392,748043,2558,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
127,АВТОКРАЗБАНК,1557037.34,1012014,1121779.35,1014099,2361,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
128,АВТОКРАЗБАНК,1059233,1012012,830083,698325,3914,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
129,АВТОКРАЗБАНК,928744,1072011,709584,609671,3781,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
130,АВТОКРАЗБАНК,1425572,1072013,857486,804174,1671,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
131,АВТОКРАЗБАНК,678729,1012009,528424,474259,-2683,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
132,АВТОКРАЗБАНК,728426,1072010,632350,497912,-15334,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
133,АВТОКРАЗБАНК,1338135,1072014,1078194,847380,-18796,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
134,АВТОКРАЗБАНК,700307,1012010,613495,447602,-10019,"Сергій 
Пахальчук, Андрій Лізогуб, Андрій 
Некрилов",4,regionals,insolvent,126,2,82
135,"АГРАРНИЙ 
КОМЕРЦІЙНИЙ",561726,1012010,297130,235449,2057,NA,4,NA,NA,169,5,188
136,"АГРАРНИЙ 
КОМЕРЦІЙНИЙ",596615,1012009,322787,274119,3098,NA,4,NA,NA,169,5,188
137,"АГРАРНИЙ 
КОМЕРЦІЙНИЙ",512088,1072009,309467,224841,-2589,NA,4,NA,NA,169,5,188
138,АГРОКОМБАНК,666127,1072014,298452,298733,193,"Володимир Дробот, 
депутат Київради",4,ukraine,NA,167,4,135
139,АГРОКОМБАНК,613945.53,1012014,303256.44,312259,1120,"Володимир 
Дробот, депутат Київради",4,ukraine,NA,167,4,135
140,АГРОКОМБАНК,539848,1072010,301346,262311,1132,"Володимир Дробот,
 депутат Київради",4,ukraine,NA,167,4,135
141,АГРОКОМБАНК,563202,1012013,317013,263987,15166,"Володимир 
Дробот, депутат Київради",4,ukraine,NA,167,4,135
142,АГРОКОМБАНК,546092,1072012,334532,260183,16363,"Володимир 
Дробот, депутат Київради",4,ukraine,NA,167,4,135
143,АГРОКОМБАНК,632903,1012011,284993,265929,1871,"Володимир Дробот,
 депутат Київради",4,ukraine,NA,167,4,135
144,АГРОКОМБАНК,635544,1072013,325677,265287,1524,"Володимир Дробот,
 депутат Київради",4,ukraine,NA,167,4,135
145,АГРОКОМБАНК,539540,1072011,316200,270042,774,"Володимир Дробот, 
депутат Київради",4,ukraine,NA,167,4,135
146,АГРОКОМБАНК,560656,1012012,355341,267381,955,"Володимир Дробот, 
депутат Київради",4,ukraine,NA,167,4,135
147,АКОРДБАНК,410234,1072010,175663,219882,399,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
148,АКОРДБАНК,668759,1072013,394184,327608,179,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
149,АКОРДБАНК,505034,1072012,352566,282439,1554,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
150,АКОРДБАНК,174958,1072009,119100,70378,742,"Данило Волинець, член
 наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
151,АКОРДБАНК,476489,1012011,170857,193895,136,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
152,АКОРДБАНК,411534,1072011,192410,234342,232,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
153,АКОРДБАНК,321223,1012010,145223,113934,1784,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
154,АКОРДБАНК,167971,1012009,98947,54059,737,"Данило Волинець, член 
наглядової ради ""Ощадбанку"", Світлана Фесенко",4,ukraine,NA,183,3,39
155,АКОРДБАНК,665493,1012013,402696,302972,524,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
156,АКОРДБАНК,405780,1012012,296564,223083,88,"Данило Волинець, член
 наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
157,АКОРДБАНК,597818,1072014,412550,297958,3549,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
158,АКОРДБАНК,665358.99,1012014,384811.03,363224,3566,"Данило 
Волинець, член наглядової ради ""Ощадбанку"", Світлана 
Фесенко",4,ukraine,NA,183,3,39
159,АКСІОМА,1035635,1072014,963058,631451,1482,"Ігор Сбітнєв 
(Харків)",4,ukraine,NA,156,4,60
160,АКСІОМА,595816,1072013,576236,257563,857,"Ігор Сбітнєв 
(Харків)",4,ukraine,NA,156,4,60
161,АКСІОМА,402968,1012012,463228,67607,796,"Ігор Сбітнєв 
(Харків)",4,ukraine,NA,156,4,60
162,АКСІОМА,1034696.54,1012014,995543.12,618255,1552,"Ігор Сбітнєв 
(Харків)",4,ukraine,NA,156,4,60
163,АКСІОМА,500926,1012013,472427,164152,1825,"Ігор Сбітнєв 
(Харків)",4,ukraine,NA,156,4,60
164,АКСІОМА,533097,1072012,515638,184436,1000,"Ігор Сбітнєв 
(Харків)",4,ukraine,NA,156,4,60
165,АКТАБАНК,4377800,1072013,2256120,3546395,141,"група фізичних та 
юридичних осіб",3,ukraine,insolvent,70,6,5
166,АКТАБАНК,525281,1072009,161511,218848,1269,"група фізичних та 
юридичних осіб",4,ukraine,insolvent,70,6,5
167,АКТАБАНК,1223100,1072010,433719,685223,415,"група фізичних та 
юридичних осіб",4,ukraine,insolvent,70,6,5
168,АКТАБАНК,852245,1012010,277630,547624,2047,"група фізичних та 
юридичних осіб",4,ukraine,insolvent,70,6,5
169,АКТАБАНК,2631420,1072011,1188018,1628857,298,"група фізичних та 
юридичних осіб",3,ukraine,insolvent,70,6,5
170,АКТАБАНК,4790346.63,1012014,2492126.21,4079668,535,"група 
фізичних та юридичних осіб",3,ukraine,insolvent,70,6,5
171,АКТАБАНК,5017206,1072014,3018111,3885799,113,"група фізичних та 
юридичних осіб",3,ukraine,insolvent,70,6,5
172,АКТАБАНК,1623717,1012011,624652,1088394,2268,"група фізичних та 
юридичних осіб",3,ukraine,insolvent,70,6,5
173,АКТАБАНК,213029,1012009,117881,132459,833,"група фізичних та 
юридичних осіб",4,ukraine,insolvent,70,6,5
174,АКТАБАНК,5108239,1072012,2430613,3754514,7512,"група фізичних та
 юридичних осіб",3,ukraine,insolvent,70,6,5
175,АКТАБАНК,4290670,1012013,1904457,3753338,9765,"група фізичних та
 юридичних осіб",3,ukraine,insolvent,70,6,5
176,АКТАБАНК,3801811,1012012,1925567,2913662,2838,"група фізичних та
 юридичних осіб",3,ukraine,insolvent,70,6,5
177,АКТИВ-БАНК,2827399,1012013,2057593,2099788,995,"Данило Волинець,
 член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",4,ukraine,insolvent,68,2,101
178,АКТИВ-БАНК,2857750,1012011,2119115,1438026,1173,"Данило 
Волинець, член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
179,АКТИВ-БАНК,2887442,1072012,2065316,1830084,547,"Данило Волинець,
 член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
180,АКТИВ-БАНК,2074160,1012010,1500235,839872,142,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
181,АКТИВ-БАНК,3517845,1072014,2952513,2393704,5268,"Данило 
Волинець, член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
182,АКТИВ-БАНК,3548492,1072011,2495201,2263351,607,"Данило Волинець,
 член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
183,АКТИВ-БАНК,2321626,1072010,1664439,958487,454,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
184,АКТИВ-БАНК,3795774.49,1012014,2388185.19,2374406,10799,"Данило 
Волинець, член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
185,АКТИВ-БАНК,2080820,1012009,1439187,1160745,10082,"Данило 
Волинець, член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
186,АКТИВ-БАНК,3404378,1012012,2684383,2186542,1244,"Данило 
Волинець, член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
187,АКТИВ-БАНК,3180741,1072013,2195769,1942820,708,"Данило Волинець,
 член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",4,ukraine,insolvent,68,2,101
188,АКТИВ-БАНК,2118330,1072009,1477225,882750,908,"Данило Волинець, 
член наглядової ради ""Ощадбанку"", Оксана 
Маркарова",3,ukraine,insolvent,68,2,101
189,АКЦЕНТ-БАНК,2059673,1072013,1025082,1541535,2311,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
190,АКЦЕНТ-БАНК,939536,1072011,921576,402222,19,"Ігор Коломойський, 
Генадій Боголюбов",4,ukraine,NA,106,3,63
191,АКЦЕНТ-БАНК,1451991,1072012,932956,982457,169,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
192,АКЦЕНТ-БАНК,802933,1012009,808557,182261,21017,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
193,АКЦЕНТ-БАНК,2035618,1072014,865473,1756265,988,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
194,АКЦЕНТ-БАНК,828782,1012011,679511,277461,5415,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
195,АКЦЕНТ-БАНК,1364691,1012012,1226387,675770,96,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
196,АКЦЕНТ-БАНК,2147393.11,1012014,1206920.44,1869979,10908,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
197,АКЦЕНТ-БАНК,1000636,1072010,852867,303617,19651,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
198,АКЦЕНТ-БАНК,946481,1012010,980952,180813,27891,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
199,АКЦЕНТ-БАНК,1105812,1072009,907150,534221,12275,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
200,АКЦЕНТ-БАНК,1804999,1012013,975692,1112603,3023,"Ігор 
Коломойський, Генадій Боголюбов",4,ukraine,NA,106,3,63
201,АЛЬПАРІ,129112.31,1012014,27854.06,3686,2878,"Анатолій 
Дубінський (ТОВ Юридична компанія Швидка правова 
допомога)",4,russia,NA,238,4,136
